City,last_updated,Measure Display,parent_metro_region,Period Begin,Period End,Property Type,Region,Region Type,Seasonally Adjusted,State,State Code,Table Id,Worksheet Filter,active_listings,active_listings_mom,active_listings_yoy,Avg Sale To List,Avg Sale To List Mom,Avg Sale To List Yoy,Homes Sold,Homes Sold Mom,Homes Sold Yoy,Inventory,Inventory Mom,Inventory Yoy,Median Dom,Median Dom Mom,Median Dom Yoy,Median List Ppsf,Median List Ppsf Mom,Median List Ppsf Yoy,Median List Price,Median List Price Mom,Median List Price Yoy,Median Ppsf,Median Ppsf Mom,Median Ppsf Yoy,Median Sale Price,Median Sale Price Mom,Median Sale Price Yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,New Listings,New Listings Mom,New Listings Yoy,Number of Records,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region_metro_code,pending_sales,pending_sales_mom,pending_sales_yoy,Period Duration,Price Drops,Price Drops Mom,Price Drops Yoy,property_type_id,region_type_id,Sold Above List,Sold Above List Mom,Sold Above List Yoy
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2015,9/30/2015,All Residential,"San Francisco, CA - Rincon Hill",Neighborhood,FALSE,California,CA,554599,Value,91,0.070588235,0.096385542,1.019023185,0.70%,1.80%,39,-18.80%,-11.40%,45,40.60%,32.40%,18,1,-12,"1,269.28",0,0.130579373,"1,174,000",0.001279318,0.02175805,"1,182.13",-0.047635564,0.088839053,"$1,050K",-6.80%,-2.30%,,,,72,16.10%,14.30%,1,0.1875,-0.274038462,-0.4125,"41,884",16,0.230769231,0.066666667,90,,,,-1,1,0.461538462,0.044871795,0.120629371
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2015,10/31/2015,All Residential,"San Francisco, CA - Castro",Neighborhood,FALSE,California,CA,5893,Value,16,0.230769231,0.6,1.131702008,-3.90%,-1.80%,7,0.00%,-22.20%,5,-16.70%,400.00%,13,0,-7,708.2579867,-0.143249762,0.035935452,"1,249,000",0,-0.241651488,966.1249841,0,0.389530661,"$1,650K",-7.60%,30.60%,,,,15,15.40%,87.50%,1,0.833333333,-0.166666667,0.833333333,"41,884",6,2,5,90,,,,-1,1,1,0,0
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2015,11/30/2015,All Residential,"San Francisco, CA - Telegraph Hill",Neighborhood,FALSE,California,CA,2700,Value,20,-0.130434783,0,1.064868575,0.40%,0.00%,8,-11.10%,-38.50%,9,0.00%,80.00%,13,-3,0,948.6405506,0,0.132869295,"1,050,000",0,0.217391304,"1,026.82",0,0.10545731,"$1,123K",-8.80%,36.00%,,,,19,0.00%,5.60%,1,0,-0.833333333,-0.666666667,"41,884",3,-0.5,-0.5,90,,,,-1,1,0.625,0.069444444,-0.144230769
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2015,11/30/2015,All Residential,"San Francisco, CA - North Beach",Neighborhood,FALSE,California,CA,11703,Value,21,0,0.75,1.074161823,1.50%,-0.30%,11,-8.30%,22.20%,3,-57.10%,0.00%,21,0,-12,897.162303,-0.019107682,-0.082811753,"1,100,000",-0.041394336,-0.12,983.4254144,-0.005647637,0.145126984,"$1,243K",13.80%,0.40%,,,,17,6.30%,88.90%,1,0.375,0.125,0.375,"41,884",8,1,3,90,,,,-1,1,0.454545455,-0.045454545,-0.434343434
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2015,12/31/2015,All Residential,"San Francisco, CA - St. Marys Park",Neighborhood,FALSE,California,CA,109033,Value,9,0.125,2,1.189443834,-3.90%,10.50%,4,0.00%,-20.00%,2,0.00%,,15,-2.5,2,615.8156912,0.055684042,,"989,000",0,,768.0836414,-0.075364279,0.005608671,"$1,081K",25.30%,1.50%,,,,5,-28.60%,,1,,,,"41,884",,,,90,,,,-1,1,1,0,0.2
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2015,12/31/2015,All Residential,"San Francisco, CA - Western South of Market",Neighborhood,FALSE,California,CA,547156,Value,48,-0.142857143,0.714285714,1.049828501,-2.40%,-3.70%,35,40.00%,45.80%,6,-50.00%,50.00%,18,3,4,831.1579625,0.014931582,-0.007394088,"839,000",-0.012941176,-0.011778563,846.9162996,-0.054600475,0.035755745,$900K,-0.60%,-3.20%,,,,34,-35.80%,78.90%,1,0,-0.210526316,0,"41,884",7,-0.631578947,0.4,90,,,,-1,1,0.742857143,-0.097142857,-0.132142857
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2015,1/31/2016,All Residential,"San Francisco, CA - St. Marys Park",Neighborhood,FALSE,California,CA,109033,Value,6,-0.333333333,1,1.154082475,-3.50%,-1.90%,3,-25.00%,200.00%,3,50.00%,50.00%,14,-1,-36,651.9176471,0.058624612,-0.043232105,"1,149,450",0.16223458,0.260361842,705.4794521,-0.081506995,0.169528158,"$1,133K",4.80%,0.70%,,,,2,-60.00%,0.00%,1,,,,"41,884",,,,90,,,,-1,1,0.666666667,-0.333333333,-0.333333333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2015,1/31/2016,All Residential,"San Francisco, CA - Marina District",Neighborhood,FALSE,California,CA,1626,Value,20,-0.2,-0.230769231,1.002979719,-3.20%,-7.10%,17,-5.60%,-5.60%,5,400.00%,66.70%,16,3.5,-1,"1,155.65",-0.000129009,0.178760953,"1,300,000",-0.184952978,0.092436975,"1,195.65",0,0.174396135,"$2,500K",16.30%,53.80%,,,,11,-42.10%,-35.30%,1,,,,"41,884",,,,90,,,,-1,1,0.529411765,-0.192810458,-0.248366013
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2015,1/31/2016,All Residential,"San Francisco, CA - Southeast San Francisco",Neighborhood,FALSE,California,CA,92518,Value,340,-0.162561576,-0.134860051,1.086280258,-2.00%,2.50%,233,-14.00%,-1.30%,98,24.10%,-17.60%,19,3,-1,750,0.063788301,0.140163934,"899,000",0,0.021590909,770.0787402,-0.023450873,0.129805402,$975K,-6.10%,12.70%,,,,218,-12.40%,-4.80%,1,0.467741935,0.134408602,-0.116673649,"41,884",62,-0.060606061,-0.194805195,90,,,,-1,1,0.712446352,-0.051391286,0.059903979
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2015,2/29/2016,All Residential,"San Francisco, CA - Golden Gate Heights",Neighborhood,FALSE,California,CA,1113,Value,24,0.043478261,0,1.119926713,-2.10%,0.50%,18,28.60%,50.00%,10,66.70%,11.10%,29.5,7.5,14.5,690.2199345,-0.022643434,-0.01242223,"1,344,500",-0.032733813,0.170147955,722.5433526,0,-0.108492663,"$1,500K",0.80%,23.50%,,,,16,45.50%,-15.80%,1,0.2,-0.3,-0.4,"41,884",5,1.5,0,90,,,,-1,1,0.833333333,-0.095238095,-0.083333333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2016,3/31/2016,All Residential,"San Francisco, CA - Ashbury Heights",Neighborhood,FALSE,California,CA,10316,Value,3,-0.25,-0.7,1.084551038,3.70%,-15.40%,4,33.30%,-55.60%,1,0.00%,-66.70%,25,-10,14,842.855875,0,-0.038414579,"1,095,000",0,-0.172022684,"1,034.62",-0.020663344,0.012892806,"$1,328K",-1.30%,-18.30%,,,,2,0.00%,-80.00%,1,,,,"41,884",,,,90,,,,-1,1,0.75,0.083333333,-0.25
San Francisco,4/5/2020 14:45,,"San Francisco, CA",1/1/2016,3/31/2016,All Residential,"San Francisco, CA - Russian Hill",Neighborhood,FALSE,California,CA,2352,Value,39,0.258064516,0.258064516,1.058526856,0.60%,1.70%,20,-23.10%,5.30%,12,100.00%,33.30%,12,-2,-3.5,"1,103.17",0.016892791,0.120641534,"1,395,000",0.1625,0.077220077,"1,149.93",-0.012241857,0.228889645,"$2,026K",0.00%,75.40%,,,,35,66.70%,52.20%,1,1,0.3,0.5,"41,884",8,-0.2,1,90,,,,-1,1,0.7,0.007692308,0.121052632
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2016,4/30/2016,All Residential,"San Francisco, CA - South Beach",Neighborhood,FALSE,California,CA,2560,Value,224,0.172774869,0.28,1.016998065,-0.90%,-3.10%,94,16.00%,-11.30%,109,26.70%,131.90%,20,5,6,"1,170.12",-0.034035635,0.044887097,"1,247,000",0.043514644,0.084347826,"1,235.89",-0.020358013,0.072955326,"$1,150K",1.30%,-9.60%,,,,174,7.40%,25.20%,1,0.3,-0.16875,-0.330434783,"41,884",40,0.25,-0.130434783,90,,,,-1,1,0.414893617,-0.060716139,-0.188879968
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2016,5/31/2016,All Residential,"San Francisco, CA - Laguna Honda",Neighborhood,FALSE,California,CA,116577,Value,14,0.272727273,0.272727273,1.147277768,1.40%,-1.30%,6,50.00%,0.00%,5,0.00%,66.70%,15,2,-1,786.5937073,-0.028790235,0.236281883,"1,249,000",0.086086957,-0.193152455,908.6656276,0.052814153,0.16631757,"$1,384K",-4.20%,-27.30%,,,,9,28.60%,0.00%,1,0.5,-0.25,0,"41,884",2,-0.5,-0.5,90,,,,-1,1,0.833333333,0.083333333,-0.166666667
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2016,5/31/2016,All Residential,"San Francisco, CA - University Mound",Neighborhood,FALSE,California,CA,111230,Value,15,1.5,0.5,1.179556752,6.70%,6.20%,4,-33.30%,-42.90%,6,,50.00%,27.5,-1,8.5,561.5333774,0.080399484,-0.118702151,"799,000",0,-0.06,711.8514663,-0.041705794,-0.0342209,"$1,003K",19.30%,27.70%,,,,11,120.00%,57.10%,1,1,0.75,0,"41,884",3,-0.25,2,90,,,,-1,1,0.5,-0.166666667,-0.357142857
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2016,5/31/2016,All Residential,"San Francisco, CA - Portola",Neighborhood,FALSE,California,CA,2185,Value,25,0.388888889,-0.074074074,1.121604654,3.50%,2.90%,14,-12.50%,-12.50%,11,175.00%,83.30%,17,-1.5,1.5,559.992,0.025622434,0.028022697,"875,900",0.005048766,0.25487106,650.9452736,0.009408329,0.145437623,$850K,4.30%,9.10%,,,,21,50.00%,23.50%,1,0.333333333,-0.466666667,-0.066666667,"41,884",3,-0.4,-0.4,90,,,,-1,1,0.714285714,0.089285714,0.067226891
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2016,5/31/2016,All Residential,"San Francisco, CA - Upper Market",Neighborhood,FALSE,California,CA,115175,Value,13,0.083333333,-0.434782609,1.093547088,3.80%,1.10%,9,28.60%,-47.10%,4,-33.30%,300.00%,11,-10,-3,852.5641026,-0.088632884,-0.02441886,"1,572,000",0.051505017,0.455555556,"1,004.27",0.011560223,0.167696193,"$1,675K",0.70%,12.80%,,,,10,11.10%,-41.20%,1,0.25,-0.75,-0.5,"41,884",4,1,0,90,,,,-1,1,0.888888889,0.174603175,0.359477124
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2016,5/31/2016,All Residential,"San Francisco, CA - Marina Gardens",Neighborhood,FALSE,California,CA,547154,Value,21,0.3125,0.75,1.006141763,0.40%,-12.20%,11,57.10%,37.50%,6,0.00%,500.00%,15,-6,2,"1,078.19",-0.121385256,0.149755728,"1,995,000",-0.290666667,-0.131664853,"1,315.95",-0.079853044,0.168734708,"$2,520K",-12.20%,9.90%,,,,17,21.40%,70.00%,1,0.777777778,-0.222222222,-0.022222222,"41,884",9,2,0.8,90,,,,-1,1,0.454545455,0.025974026,-0.420454545
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2016,5/31/2016,All Residential,"San Francisco, CA - Mission Bay",Neighborhood,FALSE,California,CA,1724,Value,73,0,0.622222222,1.018671529,0.20%,-2.40%,50,22.00%,38.90%,19,-13.60%,280.00%,18.5,-0.5,6.5,"1,033.30",-0.005172446,0.006540322,"1,262,500",0.01,-0.091072714,"1,094.04",-0.012089653,-0.002366535,"$1,315K",-3.00%,-0.20%,,,,55,-17.90%,44.70%,1,0.125,-0.075,-0.791666667,"41,884",16,0.066666667,0.333333333,90,,,,-1,1,0.54,0.003414634,-0.071111111
San Francisco,4/5/2020 14:45,,"San Francisco, CA",4/1/2016,6/30/2016,All Residential,"San Francisco, CA - Bernal Heights",Neighborhood,FALSE,California,CA,202,Value,101,0.097826087,0.202380952,1.169267649,0.00%,-6.90%,65,22.60%,16.10%,28,7.70%,16.70%,15,0,1,817.512275,0.007007428,0.114159641,"1,024,000",0.025025025,0.077894737,915.5555556,0.010773333,-0.034505051,"$1,280K",-3.40%,-1.70%,,,,84,15.10%,25.40%,1,0.565217391,-0.101449275,-0.122282609,"41,884",23,-0.148148148,0.4375,90,,,,-1,1,0.8,-0.030188679,-0.075
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2016,9/30/2016,All Residential,"San Francisco, CA - Outer Mission",Neighborhood,FALSE,California,CA,403,Value,10,0.25,-0.333333333,1.138379397,6.40%,12.70%,4,-50.00%,-50.00%,6,50.00%,100.00%,34,0,11,587.9598662,0.00120044,0.144561873,"888,500",0.125431458,0.271101574,637.254902,0,0.075898366,$813K,27.00%,13.20%,,,,8,33.30%,-38.50%,1,0,0,-0.125,"41,884",1,0,-0.875,90,,,,-1,1,1,0.25,0.5
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2016,10/31/2016,All Residential,"San Francisco, CA - Cathedral Hill",Neighborhood,FALSE,California,CA,402,Value,35,0.129032258,0.206896552,1.04829939,0.40%,-4.60%,17,13.30%,-5.60%,15,15.40%,66.70%,33,3,19,891.6666667,0,0.103248588,"749,000",0,0,944.4444444,0.016516517,0.061331368,$690K,2.20%,7.40%,,,,29,26.10%,16.00%,1,0.166666667,-0.583333333,-0.083333333,"41,884",6,0.5,-0.25,90,,,,-1,1,0.823529412,0.156862745,-0.009803922
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2016,11/30/2016,All Residential,"San Francisco, CA - Laurel Heights-Jordan Park",Neighborhood,FALSE,California,CA,1401,Value,10,0,-0.333333333,0.980986278,-3.90%,-11.00%,5,-16.70%,-37.50%,5,66.70%,25.00%,17.5,6.5,3.5,907.9349647,-0.095240173,-0.039407267,"2,395,000",-0.188135593,0.849420849,"1,061.45",0.043221333,0.081250424,"$3,400K",14.30%,103.00%,,,,9,28.60%,-30.80%,1,0.5,0.5,-0.5,"41,884",2,1,1,90,,,,-1,1,0.4,-0.1,-0.35
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2016,11/30/2016,All Residential,"San Francisco, CA - Mission Terrace",Neighborhood,FALSE,California,CA,1738,Value,13,-0.1875,-0.518518519,1.078195546,3.20%,-6.20%,8,0.00%,-57.90%,4,-42.90%,0.00%,43.5,11.5,26.5,545.6431535,-0.078719471,-0.100235083,"868,000",0.041391722,-0.022522523,652.0433411,-0.243512429,-0.068620669,$910K,0.00%,-14.00%,,,,7,-30.00%,-58.80%,1,0,0,0,"41,884",3,0,-0.25,90,,,,-1,1,0.875,0.125,0.138157895
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2016,12/31/2016,All Residential,"San Francisco, CA - Clarendon Heights",Neighborhood,FALSE,California,CA,526,Value,10,-0.166666667,0.25,1.041834523,0.90%,-15.20%,9,0.00%,50.00%,,,,27,0,14.5,875.1660027,-0.035388173,0.129596188,"1,595,000",-0.030395137,0.637577002,853.8385827,0.107734735,-0.040448069,"$1,325K",0.00%,3.00%,,,,3,-62.50%,-25.00%,1,0,0,0,"41,884",1,-0.666666667,0,90,,,,-1,1,0.555555556,-0.111111111,-0.444444444
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2016,12/31/2016,All Residential,"San Francisco, CA - Presidio Terrace",Neighborhood,FALSE,California,CA,116225,Value,10,0,2.333333333,1.023742889,-1.90%,-3.40%,10,0.00%,233.30%,,,,27,4.5,-26,979.7724399,0.026691152,0.087270984,"2,437,500",-0.127906977,1.487244898,979.7724399,-0.012748381,0.127143171,"$1,703K",-25.20%,40.70%,,,,2,-66.70%,-33.30%,1,1,1,,"41,884",1,-0.5,,90,,,,-1,1,0.5,-0.1,-0.166666667
San Francisco,4/5/2020 14:45,,"San Francisco, CA",10/1/2016,12/31/2016,All Residential,"San Francisco, CA - Lone Mountain",Neighborhood,FALSE,California,CA,1559,Value,5,-0.285714286,-0.545454545,1.071844714,0.70%,-4.80%,4,-33.30%,-50.00%,,,,13.5,-1,-5.5,737.0647471,-0.09008482,-0.001949009,"994,500",-0.274087591,-0.094262295,869.3548387,0.030346476,0.176477453,"$1,213K",0.00%,-20.50%,,,,2,-66.70%,-71.40%,1,0.5,,0.5,"41,884",2,,0,90,,,,-1,1,0.75,0.083333333,0.125
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2016,1/31/2017,All Residential,"San Francisco, CA - Peralta Heights",Neighborhood,FALSE,California,CA,114280,Value,9,-0.1,0.125,1.084912492,-5.70%,-4.90%,5,-28.60%,-28.60%,5,66.70%,150.00%,51,22,17,738.6956522,-0.139739904,-0.099897429,"1,749,500",0.321873819,0.346805235,926.6557039,-0.052569714,0.666115079,"$1,400K",-17.40%,17.20%,,,,4,0.00%,-20.00%,1,0,0,-1,"41,884",1,0,-0.5,90,,,,-1,1,0.6,0.028571429,-0.257142857
San Francisco,4/5/2020 14:45,,"San Francisco, CA",11/1/2016,1/31/2017,All Residential,"San Francisco, CA - South of Market",Neighborhood,FALSE,California,CA,6595,Value,309,-0.025236593,0.36123348,0.995370482,-0.20%,-2.20%,125,-11.30%,-22.40%,119,46.90%,75.00%,61,13,37,"1,091.62",0.056295658,-0.065564568,"1,100,000",0.042654028,-0.042645779,"1,011.06",-0.021652363,-0.082955658,$885K,-6.80%,-20.30%,,,,149,22.10%,14.60%,1,0.428571429,0.335978836,-0.338870432,"41,884",35,-0.351851852,-0.186046512,90,,,,-1,1,0.304,0.020312057,-0.122829268
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2016,2/28/2017,All Residential,"San Francisco, CA - Oceanview",Neighborhood,FALSE,California,CA,1999,Value,12,-0.25,-0.294117647,1.083689273,0.50%,4.70%,12,9.10%,0.00%,3,0.00%,-57.10%,59.5,25.5,31,513.6270249,0.248397436,0.006242035,"910,000",-0.092269327,0.130434783,555.0568573,0.142362828,0.122554644,$908K,1.40%,8.40%,,,,5,-16.70%,-61.50%,1,1,1,1,"41,884",1,0,-0.5,90,,,,-1,1,0.666666667,-0.151515152,0.083333333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2016,2/28/2017,All Residential,"San Francisco, CA - Golden Gate Heights",Neighborhood,FALSE,California,CA,1113,Value,14,-0.125,-0.416666667,1.042520893,-1.20%,-7.70%,10,-28.60%,-44.40%,5,25.00%,-50.00%,46,-9,16.5,598.0320908,-0.046253038,-0.133562998,"1,388,000",0.028148148,0.032354035,692.1325487,-0.056534403,-0.042088553,"$1,458K",17.20%,-2.80%,,,,9,28.60%,-43.80%,1,0.333333333,0.333333333,0.133333333,"41,884",3,2,-0.4,90,,,,-1,1,0.6,0.028571429,-0.233333333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2017,4/30/2017,All Residential,"San Francisco, CA - Crocker Amazon",Neighborhood,FALSE,California,CA,641,Value,24,0.2,0.2,1.092678174,-2.20%,6.70%,17,54.50%,41.70%,7,40.00%,-36.40%,20,-43,-5,582.1428571,-0.017929834,0.056904708,"799,000",0.027652733,-0.059446733,641.630094,0.133519664,0.120569968,$880K,-2.10%,13.70%,,,,19,35.70%,5.60%,1,0.5,-0.214285714,-0.166666667,"41,884",6,-0.142857143,1,90,,,,-1,1,0.705882353,-0.112299465,-0.044117647
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2017,5/31/2017,All Residential,"San Francisco, CA - Corona Heights",Neighborhood,FALSE,California,CA,605,Value,17,0,0.0625,1.110711274,-1.90%,-2.10%,13,18.20%,116.70%,3,-25.00%,-25.00%,14,0.5,-1,947.7723223,0.0043118,0.203341843,"1,295,000",0.040160643,0.017681729,"1,070.15",-0.005501842,0.091890305,"$1,500K",0.00%,0.00%,,,,11,-21.40%,-21.40%,1,1,0.4,0.25,"41,884",2,-0.6,-0.5,90,,,,-1,1,0.846153846,-0.153846154,0.012820513
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2017,5/31/2017,All Residential,"San Francisco, CA - Panhandle",Neighborhood,FALSE,California,CA,114127,Value,13,-0.315789474,-0.409090909,1.084158613,3.50%,-4.90%,12,0.00%,20.00%,1,-80.00%,-83.30%,15,-5,-0.5,846.0601633,-0.043734709,0.029937953,"1,195,000",0,-0.173010381,"1,040.18",0,0.030065558,"$1,173K",-3.50%,-14.80%,,,,11,-26.70%,-21.40%,1,0.25,-0.25,-0.321428571,"41,884",4,-0.333333333,-0.428571429,90,,,,-1,1,0.75,0.083333333,0.05
San Francisco,4/5/2020 14:45,,"San Francisco, CA",4/1/2017,6/30/2017,All Residential,"San Francisco, CA - Visitacion Valley",Neighborhood,FALSE,California,CA,2897,Value,21,0.05,0.235294118,1.114445047,2.80%,1.00%,11,-8.30%,57.10%,8,14.30%,0.00%,26,-20,14,538.3759733,0,0.029754252,"799,000",0.06961178,0.143061516,602.3291346,0.144356831,-0.118063341,$820K,0.90%,5.10%,,,,17,21.40%,13.30%,1,0.2,-0.3,-0.05,"41,884",5,0.25,0.25,90,,,,-1,1,0.727272727,-0.022727273,0.012987013
San Francisco,4/5/2020 14:45,,"San Francisco, CA",6/1/2017,8/31/2017,All Residential,"San Francisco, CA - Russian Hill",Neighborhood,FALSE,California,CA,2352,Value,45,-0.134615385,0.022727273,1.078281496,2.40%,6.60%,23,-25.80%,-20.70%,15,-16.70%,7.10%,34,2,13,"1,090.53",-0.048516147,0.032765084,"1,645,000",-0.233993015,0.166666667,"1,197.56",-0.012383198,0.155509157,"$1,650K",-17.30%,29.40%,,,,28,-17.60%,0.00%,1,0.25,-0.035714286,0.083333333,"41,884",8,0.142857143,0.333333333,90,,,,-1,1,0.695652174,0.147265077,0.316341829
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2017,9/30/2017,All Residential,"San Francisco, CA - Tenderloin",Neighborhood,FALSE,California,CA,2702,Value,8,0.333333333,-0.555555556,0.988684633,-1.60%,-6.40%,3,-40.00%,-57.10%,6,500.00%,-50.00%,60,39,16,851.9779448,-0.084975935,-0.075097012,"799,000",-0.196984925,0.143061516,810.3197674,-0.17379161,-0.016679448,"$1,020K",92.80%,54.80%,,,,5,66.70%,-54.50%,1,,,,"41,884",,,,90,,,,-1,1,0.333333333,-0.066666667,-0.095238095
San Francisco,4/5/2020 14:45,,"San Francisco, CA",7/1/2017,9/30/2017,All Residential,"San Francisco, CA - South of Market",Neighborhood,FALSE,California,CA,6595,Value,398,0.087431694,-0.045563549,1.015371068,0.20%,0.70%,159,-7.60%,-4.20%,186,28.30%,-6.10%,42,1,-1,"1,097.05",-0.015116647,0.030966697,"1,155,000",-0.018691589,0.157314629,"1,117.75",0.052387632,0.06418611,"$1,065K",-7.80%,12.80%,,,,251,16.70%,-3.10%,1,0.372881356,0.006214689,0.137587238,"41,884",59,-0.016666667,0.156862745,90,,,,-1,1,0.447204969,-0.018312272,0.043590511
San Francisco,4/5/2020 14:45,,"San Francisco, CA",8/1/2017,10/31/2017,All Residential,"San Francisco, CA - Russian Hill",Neighborhood,FALSE,California,CA,2352,Value,54,0.08,-0.052631579,1.034476834,-5.10%,-0.20%,22,15.80%,-29.00%,25,-7.40%,0.00%,29.5,13.5,4.5,"1,204.79",0.103567101,0.093630362,"2,072,500",0.062820513,0.038847118,"1,082.90",-0.025385604,-0.001086781,"$1,743K",5.60%,2.50%,,,,36,12.50%,-16.30%,1,0.181818182,-0.018181818,-0.262626263,"41,884",11,1.2,0.222222222,90,,,,-1,1,0.590909091,-0.145933014,0.042521994
San Francisco,4/5/2020 14:45,,"San Francisco, CA",9/1/2017,11/30/2017,All Residential,"San Francisco, CA - Bret Harte",Neighborhood,FALSE,California,CA,118713,Value,7,0,-0.5,1.013338568,-2.50%,-1.70%,2,-33.30%,-60.00%,4,-20.00%,-42.90%,42,6,-8,715.3846154,-0.000789448,0.230662554,"799,000",0.149640288,0.149640288,640.0545342,0.225067524,0.202748247,$749K,1.60%,-5.20%,,,,7,40.00%,-30.00%,1,0,,0,"41,884",3,,0.5,90,,,,-1,1,0.5,-0.166666667,-0.1
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2017,2/28/2018,All Residential,"San Francisco, CA - Corona Heights",Neighborhood,FALSE,California,CA,605,Value,4,3,-0.714285714,1.105354059,1.30%,2.30%,1,-50.00%,-85.70%,2,,-66.70%,6,-4,-27,950.387262,-0.17633104,0.024678735,"1,722,500",-0.405008636,0.152173913,"1,275.41",0,0.323714119,"$3,200K",34.30%,85.50%,,,,4,300.00%,-55.60%,1,1,0,0,"41,884",1,0,-0.5,90,,,,-1,1,1,0,0.428571429
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2017,2/28/2018,All Residential,"San Francisco, CA - Western Addition",Neighborhood,FALSE,California,CA,2989,Value,33,0.178571429,0.137931034,1.157329303,2.00%,14.20%,11,-21.40%,-15.40%,16,77.80%,33.30%,38,-2,6,931.2354312,0.03549604,-0.030922445,"939,000",0.045657016,-0.2175,945.754717,0.060846561,0.010522355,"$1,094K",-16.80%,-33.70%,,,,26,36.80%,36.80%,1,0.166666667,-0.433333333,-0.033333333,"41,884",6,0.2,0.2,90,,,,-1,1,0.727272727,0.012987013,0.342657343
San Francisco,4/5/2020 14:45,,"San Francisco, CA",12/1/2017,2/28/2018,All Residential,"San Francisco, CA - Northwest San Francisco",Neighborhood,FALSE,California,CA,118514,Value,461,-0.039583333,-0.039583333,1.059779888,-0.60%,3.10%,245,-21.70%,-18.10%,163,22.60%,-4.70%,28,1,-12.5,981.2536614,0.02684167,0.003872663,"1,495,000",0,0.071684588,"1,008.79",0.022805193,0.058175695,"$1,580K",-1.90%,1.90%,,,,294,15.30%,7.30%,1,0.615384615,-0.01975052,0.058566434,"41,884",91,0.22972973,0.034090909,90,,,,-1,1,0.591836735,-0.027971572,0.126953792
San Francisco,4/5/2020 14:45,,"San Francisco, CA",2/1/2018,4/30/2018,All Residential,"San Francisco, CA - Marina District",Neighborhood,FALSE,California,CA,1626,Value,37,-0.051282051,0.027777778,1.070454272,-0.70%,3.70%,24,0.00%,50.00%,12,50.00%,-20.00%,14,0,-6.5,"1,140.69",0.007333975,0.06345449,"2,331,711.50",0.049729432,0.137697731,"1,276.88",-0.02591236,0.097209315,"$2,382K",0.00%,34.20%,,,,30,-14.30%,7.10%,1,0.333333333,-0.30952381,-0.266666667,"41,884",3,-0.785714286,-0.4,90,,,,-1,1,0.708333333,0,0.145833333
San Francisco,4/5/2020 14:45,,"San Francisco, CA",3/1/2018,5/31/2018,All Residential,"San Francisco, CA - Laguna Honda",Neighborhood,FALSE,California,CA,116577,Value,5,0.666666667,-0.166666667,1.271957216,9.10%,-3.20%,3,-40.00%,-40.00%,,,,11,-4,2,795.8852855,-0.070293295,0.058719732,"1,695,000",0.062695925,0.064698492,"1,153.58",-0.004014713,0.317048108,"$1,875K",4.20%,-4.30%,,,,4,33.30%,-33.30%,1,1,,0,"41,884",2,,1,90,,,,-1,1,1,0,0
