Month of Period End,Region,Avg. Median Sale Price,Avg. Median Ppsf
Feb-12,"San Francisco, CA - Western South of Market",$522K,514.7540984
Mar-12,"San Francisco, CA - Western South of Market",$519K,496.0554931
Apr-12,"San Francisco, CA - Western South of Market",$530K,508.4507042
May-12,"San Francisco, CA - Western South of Market",$540K,530.2325581
Jun-12,"San Francisco, CA - Western South of Market",$590K,532.2981146
Jul-12,"San Francisco, CA - Western South of Market",$650K,535.4200988
Aug-12,"San Francisco, CA - Western South of Market",$670K,533.1400791
Sep-12,"San Francisco, CA - Western South of Market",$699K,555.5004173
Oct-12,"San Francisco, CA - Western South of Market",$771K,587.1615202
Nov-12,"San Francisco, CA - Western South of Market",$725K,590.7310705
Dec-12,"San Francisco, CA - Western South of Market",$725K,590
Jan-13,"San Francisco, CA - Western South of Market",$629K,590.7310705
Feb-13,"San Francisco, CA - Western South of Market",$650K,609.3916756
Mar-13,"San Francisco, CA - Western South of Market",$680K,652.626506
Apr-13,"San Francisco, CA - Western South of Market",$741K,650.0294657
May-13,"San Francisco, CA - Western South of Market",$759K,649.4565217
Jun-13,"San Francisco, CA - Western South of Market",$761K,654.7155105
Jul-13,"San Francisco, CA - Western South of Market",$733K,680.9701493
Aug-13,"San Francisco, CA - Western South of Market",$723K,705.0908667
Sep-13,"San Francisco, CA - Western South of Market",$709K,716.9597827
Oct-13,"San Francisco, CA - Western South of Market",$750K,725.0161219
Nov-13,"San Francisco, CA - Western South of Market",$740K,719.650167
Dec-13,"San Francisco, CA - Western South of Market",$780K,739.2014962
Jan-14,"San Francisco, CA - Western South of Market",$742K,748.116254
Feb-14,"San Francisco, CA - Western South of Market",$750K,763.253012
Mar-14,"San Francisco, CA - Western South of Market",$871K,727.3513373
Apr-14,"San Francisco, CA - Western South of Market",$840K,776.7241379
May-14,"San Francisco, CA - Western South of Market",$840K,788.4393064
Jun-14,"San Francisco, CA - Western South of Market",$790K,797.4137931
Jul-14,"San Francisco, CA - Western South of Market",$805K,789.0752488
Aug-14,"San Francisco, CA - Western South of Market",$807K,798.8980716
Sep-14,"San Francisco, CA - Western South of Market",$807K,775.4800591
Oct-14,"San Francisco, CA - Western South of Market",$863K,761.1778909
Nov-14,"San Francisco, CA - Western South of Market",$875K,753.5641548
Dec-14,"San Francisco, CA - Western South of Market",$930K,817.679558
Jan-15,"San Francisco, CA - Western South of Market",$925K,852.7607362
Feb-15,"San Francisco, CA - Western South of Market",$945K,837.0129595
Mar-15,"San Francisco, CA - Western South of Market",$970K,848.719477
Apr-15,"San Francisco, CA - Western South of Market",$970K,855.2479815
May-15,"San Francisco, CA - Western South of Market",$970K,872.0690817
Jun-15,"San Francisco, CA - Western South of Market",$979K,874.3396226
Jul-15,"San Francisco, CA - Western South of Market",$960K,881.9018405
Aug-15,"San Francisco, CA - Western South of Market",$950K,937.7970936
Sep-15,"San Francisco, CA - Western South of Market",$886K,942.8669659
Oct-15,"San Francisco, CA - Western South of Market",$919K,936.7922916
Nov-15,"San Francisco, CA - Western South of Market",$905K,895.8289881
Dec-15,"San Francisco, CA - Western South of Market",$900K,846.9162996
Jan-16,"San Francisco, CA - Western South of Market",$875K,870.6896552
Feb-16,"San Francisco, CA - Western South of Market",$895K,861.8421053
Mar-16,"San Francisco, CA - Western South of Market",$853K,"1,015.52"
Apr-16,"San Francisco, CA - Western South of Market",$850K,940.9331493
May-16,"San Francisco, CA - Western South of Market",$840K,925.0317662
Jun-16,"San Francisco, CA - Western South of Market",$883K,956.8345324
Jul-16,"San Francisco, CA - Western South of Market",$925K,942.408377
Aug-16,"San Francisco, CA - Western South of Market",$925K,917.215428
Sep-16,"San Francisco, CA - Western South of Market",$900K,910.0101112
Oct-16,"San Francisco, CA - Western South of Market",$899K,872.3599633
Nov-16,"San Francisco, CA - Western South of Market",$906K,826.6879841
Dec-16,"San Francisco, CA - Western South of Market",$899K,770.6668443
Jan-17,"San Francisco, CA - Western South of Market",$875K,797.4481659
Feb-17,"San Francisco, CA - Western South of Market",$873K,803.0020704
Mar-17,"San Francisco, CA - Western South of Market",$875K,851.1210762
Apr-17,"San Francisco, CA - Western South of Market",$905K,904.8316252
May-17,"San Francisco, CA - Western South of Market",$950K,874.0243637
Jun-17,"San Francisco, CA - Western South of Market","$1,111K",885.9451631
Jul-17,"San Francisco, CA - Western South of Market","$1,072K",894.5
Aug-17,"San Francisco, CA - Western South of Market","$1,000K",896.7280164
Sep-17,"San Francisco, CA - Western South of Market",$903K,961.0341957
Oct-17,"San Francisco, CA - Western South of Market",$950K,907.6165475
Nov-17,"San Francisco, CA - Western South of Market","$1,000K",863.6363636
Dec-17,"San Francisco, CA - Western South of Market","$1,093K",838.7096774
Jan-18,"San Francisco, CA - Western South of Market",$983K,795.6145144
Feb-18,"San Francisco, CA - Western South of Market",$939K,857.7586207
Mar-18,"San Francisco, CA - Western South of Market",$887K,975.1357454
Apr-18,"San Francisco, CA - Western South of Market",$913K,"1,038.06"
May-18,"San Francisco, CA - Western South of Market",$926K,"1,066.76"
Jun-18,"San Francisco, CA - Western South of Market",$924K,"1,067.18"
Jul-18,"San Francisco, CA - Western South of Market",$924K,"1,090.32"
Aug-18,"San Francisco, CA - Western South of Market",$924K,"1,098.04"
Sep-18,"San Francisco, CA - Western South of Market",$874K,"1,109.86"
Oct-18,"San Francisco, CA - Western South of Market",$895K,"1,089.11"
Nov-18,"San Francisco, CA - Western South of Market",$874K,"1,078.77"
Dec-18,"San Francisco, CA - Western South of Market",$950K,915.0427936
Jan-19,"San Francisco, CA - Western South of Market",$935K,931.3154831
Feb-19,"San Francisco, CA - Western South of Market",$982K,939.9224806
Mar-19,"San Francisco, CA - Western South of Market",$970K,963.3027523
Apr-19,"San Francisco, CA - Western South of Market","$1,015K",974.7948361
May-19,"San Francisco, CA - Western South of Market","$1,005K","1,062.87"
Jun-19,"San Francisco, CA - Western South of Market","$1,050K","1,122.46"
Jul-19,"San Francisco, CA - Western South of Market","$1,100K","1,144.37"
Aug-19,"San Francisco, CA - Western South of Market","$1,121K","1,062.24"
Sep-19,"San Francisco, CA - Western South of Market","$1,101K","1,066.58"
Oct-19,"San Francisco, CA - Western South of Market",$980K,"1,025.06"
Nov-19,"San Francisco, CA - Western South of Market","$1,010K",986.5470852
Dec-19,"San Francisco, CA - Western South of Market","$1,035K",982.052136
Jan-20,"San Francisco, CA - Western South of Market","$1,152K",981.4453125
Feb-20,"San Francisco, CA - Western South of Market","$1,276K",991.4037408
Feb-12,"San Francisco, CA - Western Addition",$650K,528.6343612
Mar-12,"San Francisco, CA - Western Addition",$630K,549.6745583
Apr-12,"San Francisco, CA - Western Addition",$668K,566.0954493
May-12,"San Francisco, CA - Western Addition",$649K,543.2476864
Jun-12,"San Francisco, CA - Western Addition",$649K,500
Jul-12,"San Francisco, CA - Western Addition",$655K,442.6285325
Aug-12,"San Francisco, CA - Western Addition",$610K,394.3518809
Sep-12,"San Francisco, CA - Western Addition",$438K,336.9905956
Oct-12,"San Francisco, CA - Western Addition",$361K,342.0667264
Nov-12,"San Francisco, CA - Western Addition",$420K,366.0714286
Dec-12,"San Francisco, CA - Western Addition",$595K,384.8998459
Jan-13,"San Francisco, CA - Western Addition",$750K,397.2303207
Feb-13,"San Francisco, CA - Western Addition",$750K,397.2303207
Mar-13,"San Francisco, CA - Western Addition",$683K,539.321533
Apr-13,"San Francisco, CA - Western Addition",$760K,646.1594203
May-13,"San Francisco, CA - Western Addition",$823K,662.3188406
Jun-13,"San Francisco, CA - Western Addition",$805K,762.2868606
Jul-13,"San Francisco, CA - Western Addition",$705K,749.7565725
Aug-13,"San Francisco, CA - Western Addition",$695K,643.3394161
Sep-13,"San Francisco, CA - Western Addition",$739K,637.5441033
Oct-13,"San Francisco, CA - Western Addition",$779K,714.4
Nov-13,"San Francisco, CA - Western Addition",$825K,772.5806452
Dec-13,"San Francisco, CA - Western Addition",$790K,783.6990596
Jan-14,"San Francisco, CA - Western Addition",$685K,816.2031439
Feb-14,"San Francisco, CA - Western Addition",$675K,799.9511017
Mar-14,"San Francisco, CA - Western Addition",$875K,625.191518
Apr-14,"San Francisco, CA - Western Addition",$953K,625.191518
May-14,"San Francisco, CA - Western Addition",$898K,579.9256506
Jun-14,"San Francisco, CA - Western Addition",$925K,771.8120805
Jul-14,"San Francisco, CA - Western Addition",$805K,735.1263244
Aug-14,"San Francisco, CA - Western Addition",$950K,777.8658393
Sep-14,"San Francisco, CA - Western Addition",$927K,783.8994033
Oct-14,"San Francisco, CA - Western Addition",$954K,869.5652174
Nov-14,"San Francisco, CA - Western Addition",$922K,869.5652174
Dec-14,"San Francisco, CA - Western Addition","$1,050K",870.91389
Jan-15,"San Francisco, CA - Western Addition","$1,250K",731.5297275
Feb-15,"San Francisco, CA - Western Addition","$1,003K",611.6452991
Mar-15,"San Francisco, CA - Western Addition",$939K,742.6853707
Apr-15,"San Francisco, CA - Western Addition","$1,003K",604.9730838
May-15,"San Francisco, CA - Western Addition","$1,100K",756.5789474
Jun-15,"San Francisco, CA - Western Addition","$1,290K",848.003435
Jul-15,"San Francisco, CA - Western Addition","$1,095K",878.7878788
Aug-15,"San Francisco, CA - Western Addition","$1,160K",911.7283951
Sep-15,"San Francisco, CA - Western Addition","$1,073K",903.2258065
Oct-15,"San Francisco, CA - Western Addition","$1,200K",784.5308957
Nov-15,"San Francisco, CA - Western Addition","$1,200K",659.1103226
Dec-15,"San Francisco, CA - Western Addition","$1,150K",726.0726073
Jan-16,"San Francisco, CA - Western Addition","$1,150K",737.1007371
Feb-16,"San Francisco, CA - Western Addition","$1,200K",663.8558201
Mar-16,"San Francisco, CA - Western Addition","$1,200K",663.8558201
Apr-16,"San Francisco, CA - Western Addition","$1,200K",609.5238095
May-16,"San Francisco, CA - Western Addition","$1,109K",695.2271734
Jun-16,"San Francisco, CA - Western Addition",$745K,730.8633734
Jul-16,"San Francisco, CA - Western Addition",$725K,912.7013116
Aug-16,"San Francisco, CA - Western Addition","$1,020K",963.6992221
Sep-16,"San Francisco, CA - Western Addition","$1,200K",963.6992221
Oct-16,"San Francisco, CA - Western Addition","$1,300K",882.3529412
Nov-16,"San Francisco, CA - Western Addition","$1,365K",700.063508
Dec-16,"San Francisco, CA - Western Addition","$1,293K",700.063508
Jan-17,"San Francisco, CA - Western Addition","$1,527K",719.1746351
Feb-17,"San Francisco, CA - Western Addition","$1,650K",935.9067735
Mar-17,"San Francisco, CA - Western Addition","$1,400K","1,015.42"
Apr-17,"San Francisco, CA - Western Addition","$1,200K",980.9056977
May-17,"San Francisco, CA - Western Addition","$1,053K",986.2869198
Jun-17,"San Francisco, CA - Western Addition","$1,007K",952.4637417
Jul-17,"San Francisco, CA - Western Addition","$1,029K",956.4054726
Aug-17,"San Francisco, CA - Western Addition","$1,070K",933.3333333
Sep-17,"San Francisco, CA - Western Addition","$1,200K",881.662887
Oct-17,"San Francisco, CA - Western Addition","$1,383K",906.2101514
Nov-17,"San Francisco, CA - Western Addition","$1,330K",866.1839128
Dec-17,"San Francisco, CA - Western Addition","$1,325K",950.853506
Jan-18,"San Francisco, CA - Western Addition","$1,315K",891.509434
Feb-18,"San Francisco, CA - Western Addition","$1,094K",945.754717
Mar-18,"San Francisco, CA - Western Addition",$889K,"1,000.94"
Apr-18,"San Francisco, CA - Western Addition","$1,043K","1,000.94"
May-18,"San Francisco, CA - Western Addition","$1,250K",990.1962979
Jun-18,"San Francisco, CA - Western Addition","$1,290K",843.792477
Jul-18,"San Francisco, CA - Western Addition","$1,275K",962.6168224
Aug-18,"San Francisco, CA - Western Addition","$1,270K",928.4399316
Sep-18,"San Francisco, CA - Western Addition","$1,275K",962.6168224
Oct-18,"San Francisco, CA - Western Addition","$1,270K",865.7142857
Nov-18,"San Francisco, CA - Western Addition","$1,108K","1,046.14"
Dec-18,"San Francisco, CA - Western Addition",$925K,947.873357
Jan-19,"San Francisco, CA - Western Addition",$925K,"1,046.14"
Feb-19,"San Francisco, CA - Western Addition","$1,210K",880.5568999
Mar-19,"San Francisco, CA - Western Addition",$988K,911.5044248
Apr-19,"San Francisco, CA - Western Addition",$988K,918.9443921
May-19,"San Francisco, CA - Western Addition","$1,125K",996.7947233
Jun-19,"San Francisco, CA - Western Addition","$1,370K","1,065.65"
Jul-19,"San Francisco, CA - Western Addition","$1,400K","1,144.73"
Aug-19,"San Francisco, CA - Western Addition","$1,455K","1,065.65"
Sep-19,"San Francisco, CA - Western Addition","$1,520K",986.3945578
Oct-19,"San Francisco, CA - Western Addition","$1,270K","1,007.59"
Nov-19,"San Francisco, CA - Western Addition","$1,195K","1,058.88"
Dec-19,"San Francisco, CA - Western Addition","$1,275K","1,122.47"
Jan-20,"San Francisco, CA - Western Addition","$1,245K",887.1701547
Feb-20,"San Francisco, CA - Western Addition","$1,490K",714.1176471
Feb-12,"San Francisco, CA - West Portal",$806K,405.0251256
Mar-12,"San Francisco, CA - West Portal",$812K,403.3764937
Apr-12,"San Francisco, CA - West Portal",$925K,526.6485998
May-12,"San Francisco, CA - West Portal",$920K,522.7167859
Jun-12,"San Francisco, CA - West Portal",$890K,518.784972
Jul-12,"San Francisco, CA - West Portal",$858K,617.5438596
Aug-12,"San Francisco, CA - West Portal",$868K,554.3371798
Sep-12,"San Francisco, CA - West Portal",$887K,506.4
Oct-12,"San Francisco, CA - West Portal","$1,150K",498.5926819
Nov-12,"San Francisco, CA - West Portal","$1,080K",522.6630872
Dec-12,"San Francisco, CA - West Portal","$1,058K",550.7246377
Jan-13,"San Francisco, CA - West Portal","$1,170K",580
Feb-13,"San Francisco, CA - West Portal","$1,015K",559.6783882
Mar-13,"San Francisco, CA - West Portal","$1,080K",564.3335689
Apr-13,"San Francisco, CA - West Portal","$1,018K",564.3335689
May-13,"San Francisco, CA - West Portal","$1,053K",600.3160538
Jun-13,"San Francisco, CA - West Portal","$1,026K",624.3731194
Jul-13,"San Francisco, CA - West Portal","$1,026K",630.9464961
Aug-13,"San Francisco, CA - West Portal","$1,150K",630.9464961
Sep-13,"San Francisco, CA - West Portal",$992K,651.7956507
Oct-13,"San Francisco, CA - West Portal",$901K,601.2121212
Nov-13,"San Francisco, CA - West Portal",$903K,538.4615385
Dec-13,"San Francisco, CA - West Portal",$901K,570.5586548
Jan-14,"San Francisco, CA - West Portal",$908K,654.178618
Feb-14,"San Francisco, CA - West Portal",$906K,695.9106309
Mar-14,"San Francisco, CA - West Portal","$1,025K",717.791411
Apr-14,"San Francisco, CA - West Portal",$896K,669.0219412
May-14,"San Francisco, CA - West Portal","$1,050K",640.2439024
Jun-14,"San Francisco, CA - West Portal","$1,050K",577.4973072
Jul-14,"San Francisco, CA - West Portal","$1,375K",679.6430305
Aug-14,"San Francisco, CA - West Portal","$1,450K",716.6442074
Sep-14,"San Francisco, CA - West Portal","$1,438K",727.1815446
Oct-14,"San Francisco, CA - West Portal","$1,500K",764.4327598
Nov-14,"San Francisco, CA - West Portal","$1,380K",750.797552
Dec-14,"San Francisco, CA - West Portal","$1,354K",853.1821046
Jan-15,"San Francisco, CA - West Portal","$1,340K",714.6345306
Feb-15,"San Francisco, CA - West Portal","$1,325K",704.7101449
Mar-15,"San Francisco, CA - West Portal","$1,250K",696.3788301
Apr-15,"San Francisco, CA - West Portal","$1,085K",621.7765043
May-15,"San Francisco, CA - West Portal","$1,250K",696.3788301
Jun-15,"San Francisco, CA - West Portal","$1,400K",835.8208955
Jul-15,"San Francisco, CA - West Portal","$1,450K",875.6038647
Aug-15,"San Francisco, CA - West Portal","$1,425K",774.1604478
Sep-15,"San Francisco, CA - West Portal","$1,750K",616.7400881
Oct-15,"San Francisco, CA - West Portal","$1,600K",744.4884568
Nov-15,"San Francisco, CA - West Portal","$1,400K",777.7777778
Dec-15,"San Francisco, CA - West Portal","$1,500K",777.7777778
Jan-16,"San Francisco, CA - West Portal","$1,450K",830.4790018
Feb-16,"San Francisco, CA - West Portal","$1,515K",836.431878
Mar-16,"San Francisco, CA - West Portal","$1,525K",846.7532468
Apr-16,"San Francisco, CA - West Portal","$1,440K",846.7532468
May-16,"San Francisco, CA - West Portal","$1,503K",934.4827586
Jun-16,"San Francisco, CA - West Portal","$1,745K",871.4022842
Jul-16,"San Francisco, CA - West Portal","$1,840K",871.4022842
Aug-16,"San Francisco, CA - West Portal","$1,600K",928.5714286
Sep-16,"San Francisco, CA - West Portal","$1,588K",944.8499594
Oct-16,"San Francisco, CA - West Portal","$1,575K",936.710694
Nov-16,"San Francisco, CA - West Portal","$1,375K",858.0120717
Dec-16,"San Francisco, CA - West Portal","$1,400K",843.75
Jan-17,"San Francisco, CA - West Portal","$1,438K",813.8104839
Feb-17,"San Francisco, CA - West Portal","$1,578K",830.5319751
Mar-17,"San Francisco, CA - West Portal","$1,531K",912.4087591
Apr-17,"San Francisco, CA - West Portal","$2,220K",912.4087591
May-17,"San Francisco, CA - West Portal","$1,625K",951.7766497
Jun-17,"San Francisco, CA - West Portal","$1,605K",994.8771475
Jul-17,"San Francisco, CA - West Portal","$1,605K","1,030.98"
Aug-17,"San Francisco, CA - West Portal","$1,680K",998.3609825
Sep-17,"San Francisco, CA - West Portal","$1,755K",985.4588517
Oct-17,"San Francisco, CA - West Portal","$1,800K",967.5732218
Nov-17,"San Francisco, CA - West Portal","$1,730K",960.4446743
Dec-17,"San Francisco, CA - West Portal","$1,928K",818.7670976
Jan-18,"San Francisco, CA - West Portal","$1,838K",721.9757468
Feb-18,"San Francisco, CA - West Portal","$2,108K",748.2993197
Mar-18,"San Francisco, CA - West Portal","$1,656K","1,253.03"
Apr-18,"San Francisco, CA - West Portal","$1,713K","1,086.36"
May-18,"San Francisco, CA - West Portal","$1,730K","1,225.21"
Jun-18,"San Francisco, CA - West Portal","$1,775K","1,225.21"
Jul-18,"San Francisco, CA - West Portal","$1,860K","1,004.52"
Aug-18,"San Francisco, CA - West Portal","$2,220K",980.59455
Sep-18,"San Francisco, CA - West Portal","$1,600K",950
Oct-18,"San Francisco, CA - West Portal","$1,730K",808.8907837
Nov-18,"San Francisco, CA - West Portal","$1,930K",807.8007519
Dec-18,"San Francisco, CA - West Portal","$1,900K",807.8007519
Jan-19,"San Francisco, CA - West Portal","$1,729K",792.9099086
Feb-19,"San Francisco, CA - West Portal","$1,504K",907.684313
Mar-19,"San Francisco, CA - West Portal","$1,729K",907.684313
Apr-19,"San Francisco, CA - West Portal","$2,810K",938.230384
May-19,"San Francisco, CA - West Portal","$1,575K","1,019.36"
Jun-19,"San Francisco, CA - West Portal","$1,840K",999.792545
Jul-19,"San Francisco, CA - West Portal","$1,663K","1,046.64"
Aug-19,"San Francisco, CA - West Portal","$1,840K",952.9411765
Sep-19,"San Francisco, CA - West Portal","$1,825K",904.0408174
Oct-19,"San Francisco, CA - West Portal","$1,948K",904.0408174
Nov-19,"San Francisco, CA - West Portal","$1,748K",946.2990515
Dec-19,"San Francisco, CA - West Portal","$1,720K",947.3684211
Jan-20,"San Francisco, CA - West Portal","$1,775K",693.5483871
Feb-20,"San Francisco, CA - West Portal","$2,850K",606.3829787
Feb-12,"San Francisco, CA - Visitacion Valley",$406K,305.5555556
Mar-12,"San Francisco, CA - Visitacion Valley",$405K,295.3846154
Apr-12,"San Francisco, CA - Visitacion Valley",$385K,295.3846154
May-12,"San Francisco, CA - Visitacion Valley",$410K,303.3491034
Jun-12,"San Francisco, CA - Visitacion Valley",$440K,323.2453316
Jul-12,"San Francisco, CA - Visitacion Valley",$478K,323.1611273
Aug-12,"San Francisco, CA - Visitacion Valley",$485K,323.0769231
Sep-12,"San Francisco, CA - Visitacion Valley",$515K,278.8810619
Oct-12,"San Francisco, CA - Visitacion Valley",$493K,337.5453396
Nov-12,"San Francisco, CA - Visitacion Valley",$488K,373.5363167
Dec-12,"San Francisco, CA - Visitacion Valley",$522K,373.5363167
Jan-13,"San Francisco, CA - Visitacion Valley",$533K,342.6966292
Feb-13,"San Francisco, CA - Visitacion Valley",$513K,342.1816479
Mar-13,"San Francisco, CA - Visitacion Valley",$456K,340.7455891
Apr-13,"San Francisco, CA - Visitacion Valley",$492K,341.4911781
May-13,"San Francisco, CA - Visitacion Valley",$540K,408.1196581
Jun-13,"San Francisco, CA - Visitacion Valley",$598K,376.4044376
Jul-13,"San Francisco, CA - Visitacion Valley",$629K,364.9288912
Aug-13,"San Francisco, CA - Visitacion Valley",$638K,364.9288912
Sep-13,"San Francisco, CA - Visitacion Valley",$655K,407.5820579
Oct-13,"San Francisco, CA - Visitacion Valley",$590K,397.2645976
Nov-13,"San Francisco, CA - Visitacion Valley",$598K,384.6153846
Dec-13,"San Francisco, CA - Visitacion Valley",$565K,385.7678063
Jan-14,"San Francisco, CA - Visitacion Valley",$587K,483.8174274
Feb-14,"San Francisco, CA - Visitacion Valley",$575K,561.1585366
Mar-14,"San Francisco, CA - Visitacion Valley",$585K,625.0440788
Apr-14,"San Francisco, CA - Visitacion Valley",$592K,409.3432683
May-14,"San Francisco, CA - Visitacion Valley",$655K,365.4320988
Jun-14,"San Francisco, CA - Visitacion Valley",$633K,453.2544379
Jul-14,"San Francisco, CA - Visitacion Valley",$640K,497.2430732
Aug-14,"San Francisco, CA - Visitacion Valley",$656K,505.3024352
Sep-14,"San Francisco, CA - Visitacion Valley",$690K,475
Oct-14,"San Francisco, CA - Visitacion Valley",$695K,480.3024352
Nov-14,"San Francisco, CA - Visitacion Valley",$710K,517.8701678
Dec-14,"San Francisco, CA - Visitacion Valley",$660K,518.4603299
Jan-15,"San Francisco, CA - Visitacion Valley",$659K,513.6944507
Feb-15,"San Francisco, CA - Visitacion Valley",$661K,513.6944507
Mar-15,"San Francisco, CA - Visitacion Valley",$670K,508.9285714
Apr-15,"San Francisco, CA - Visitacion Valley",$661K,546.2184874
May-15,"San Francisco, CA - Visitacion Valley",$708K,444.664854
Jun-15,"San Francisco, CA - Visitacion Valley",$690K,505.8809779
Jul-15,"San Francisco, CA - Visitacion Valley",$736K,502.5254107
Aug-15,"San Francisco, CA - Visitacion Valley",$726K,497.7492877
Sep-15,"San Francisco, CA - Visitacion Valley",$751K,439.1738481
Oct-15,"San Francisco, CA - Visitacion Valley",$749K,519.0311419
Nov-15,"San Francisco, CA - Visitacion Valley",$751K,519.8847262
Dec-15,"San Francisco, CA - Visitacion Valley",$720K,535.9394704
Jan-16,"San Francisco, CA - Visitacion Valley",$780K,432.8621908
Feb-16,"San Francisco, CA - Visitacion Valley",$675K,533.2727273
Mar-16,"San Francisco, CA - Visitacion Valley",$638K,533.2727273
Apr-16,"San Francisco, CA - Visitacion Valley",$690K,533.2727273
May-16,"San Francisco, CA - Visitacion Valley",$865K,682.9618979
Jun-16,"San Francisco, CA - Visitacion Valley",$780K,682.9618979
Jul-16,"San Francisco, CA - Visitacion Valley",$730K,539.9802567
Aug-16,"San Francisco, CA - Visitacion Valley",$760K,588.7401283
Sep-16,"San Francisco, CA - Visitacion Valley",$763K,595.1636905
Oct-16,"San Francisco, CA - Visitacion Valley",$806K,615.95
Nov-16,"San Francisco, CA - Visitacion Valley",$786K,594.4
Dec-16,"San Francisco, CA - Visitacion Valley",$785K,592.6545455
Jan-17,"San Francisco, CA - Visitacion Valley",$750K,580.0130634
Feb-17,"San Francisco, CA - Visitacion Valley",$753K,580.0130634
Mar-17,"San Francisco, CA - Visitacion Valley",$764K,540.0967296
Apr-17,"San Francisco, CA - Visitacion Valley",$770K,561.4814815
May-17,"San Francisco, CA - Visitacion Valley",$813K,526.3473054
Jun-17,"San Francisco, CA - Visitacion Valley",$820K,602.3291346
Jul-17,"San Francisco, CA - Visitacion Valley",$855K,601.6628303
Aug-17,"San Francisco, CA - Visitacion Valley",$897K,575.5599809
Sep-17,"San Francisco, CA - Visitacion Valley",$939K,570.9891893
Oct-17,"San Francisco, CA - Visitacion Valley",$840K,538.1636344
Nov-17,"San Francisco, CA - Visitacion Valley",$823K,565.2173913
Dec-17,"San Francisco, CA - Visitacion Valley",$833K,553.2503458
Jan-18,"San Francisco, CA - Visitacion Valley",$833K,588.2352941
Feb-18,"San Francisco, CA - Visitacion Valley",$895K,598.2621327
Mar-18,"San Francisco, CA - Visitacion Valley",$790K,622.3368425
Apr-18,"San Francisco, CA - Visitacion Valley",$760K,671.6917923
May-18,"San Francisco, CA - Visitacion Valley",$888K,699.2125984
Jun-18,"San Francisco, CA - Visitacion Valley",$894K,699.7546672
Jul-18,"San Francisco, CA - Visitacion Valley",$860K,696.3906624
Aug-18,"San Francisco, CA - Visitacion Valley",$820K,704.6437434
Sep-18,"San Francisco, CA - Visitacion Valley",$918K,779.4871795
Oct-18,"San Francisco, CA - Visitacion Valley",$918K,770.6959707
Nov-18,"San Francisco, CA - Visitacion Valley",$906K,773.8095238
Dec-18,"San Francisco, CA - Visitacion Valley",$878K,786.6383929
Jan-19,"San Francisco, CA - Visitacion Valley",$855K,758.3333333
Feb-19,"San Francisco, CA - Visitacion Valley",$879K,753.2092199
Mar-19,"San Francisco, CA - Visitacion Valley",$880K,748.0851064
Apr-19,"San Francisco, CA - Visitacion Valley",$880K,782.2222222
May-19,"San Francisco, CA - Visitacion Valley","$1,098K",780.5755396
Jun-19,"San Francisco, CA - Visitacion Valley","$1,085K",727.0347577
Jul-19,"San Francisco, CA - Visitacion Valley",$928K,608.1525312
Aug-19,"San Francisco, CA - Visitacion Valley",$925K,706.1595989
Sep-19,"San Francisco, CA - Visitacion Valley",$965K,745.3669154
Oct-19,"San Francisco, CA - Visitacion Valley","$1,060K",745.3669154
Nov-19,"San Francisco, CA - Visitacion Valley",$960K,678.0568002
Dec-19,"San Francisco, CA - Visitacion Valley",$945K,669.5464363
Jan-20,"San Francisco, CA - Visitacion Valley",$942K,835.9517304
Feb-20,"San Francisco, CA - Visitacion Valley",$951K,757.8766505
Feb-12,"San Francisco, CA - Upper Market","$1,147K",561.0724926
Mar-12,"San Francisco, CA - Upper Market",$948K,564.6596044
Apr-12,"San Francisco, CA - Upper Market",$990K,618.1575165
May-12,"San Francisco, CA - Upper Market",$678K,660.1731602
Jun-12,"San Francisco, CA - Upper Market",$547K,620.6807499
Jul-12,"San Francisco, CA - Upper Market",$539K,603.2171582
Aug-12,"San Francisco, CA - Upper Market",$563K,545.1772709
Sep-12,"San Francisco, CA - Upper Market",$890K,603.2171582
Oct-12,"San Francisco, CA - Upper Market",$740K,628.1833616
Nov-12,"San Francisco, CA - Upper Market",$998K,627.535497
Dec-12,"San Francisco, CA - Upper Market",$850K,636.5525586
Jan-13,"San Francisco, CA - Upper Market",$844K,609.8529996
Feb-13,"San Francisco, CA - Upper Market",$459K,584.3495182
Mar-13,"San Francisco, CA - Upper Market",$838K,609.3887413
Apr-13,"San Francisco, CA - Upper Market","$1,080K",624.3522844
May-13,"San Francisco, CA - Upper Market","$1,050K",640
Jun-13,"San Francisco, CA - Upper Market",$750K,624.3522844
Jul-13,"San Francisco, CA - Upper Market","$1,075K",782.3932463
Aug-13,"San Francisco, CA - Upper Market","$1,075K",754.4959499
Sep-13,"San Francisco, CA - Upper Market","$1,008K",726.7833109
Oct-13,"San Francisco, CA - Upper Market",$855K,726.744186
Nov-13,"San Francisco, CA - Upper Market","$1,005K",714.8553093
Dec-13,"San Francisco, CA - Upper Market","$1,195K",657.4675325
Jan-14,"San Francisco, CA - Upper Market","$1,298K",642.0528761
Feb-14,"San Francisco, CA - Upper Market","$1,464K",721.0473348
Mar-14,"San Francisco, CA - Upper Market","$1,579K",830.8047239
Apr-14,"San Francisco, CA - Upper Market","$1,775K",946.2759463
May-14,"San Francisco, CA - Upper Market","$1,813K",946.2759463
Jun-14,"San Francisco, CA - Upper Market","$1,400K",815.5381204
Jul-14,"San Francisco, CA - Upper Market","$1,275K",797.030898
Aug-14,"San Francisco, CA - Upper Market","$1,275K","1,021.00"
